User ID,Firstname,Middlename,Lastname,Gender,Email,Role,Password,Major,Ethnicity,Class,Academic program,LTI User ID,SSO UID,SAT,ACT,GRE,MCAT,GMAT,LSAT
faculty1172,faculty,a.,1172,male,faculty1172@viaLT.com,faculty,t3stL0ad3r,,,,,,,,,,,,
mentor1172,mentor,a.,1172,male,mentor1172@viaLT.com,external,t3stL0ad3r,,,,,,,,,,,,
admin1172,admin,a.,1172,male,admin1172@viaLT.com,admin,t3stL0ad3r,,,,,,,,,,,,
student1173,student,a.,1173,male,student1173@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
faculty1173,faculty,a.,1173,male,faculty1173@viaLT.com,faculty,t3stL0ad3r,,,,,,,,,,,,
mentor1173,mentor,a.,1173,male,mentor1173@viaLT.com,external,t3stL0ad3r,,,,,,,,,,,,
admin1173,admin,a.,1173,male,admin1173@viaLT.com,admin,t3stL0ad3r,,,,,,,,,,,,
student1174,student,a.,1174,male,student1174@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
faculty1174,faculty,a.,1174,male,faculty1174@viaLT.com,faculty,t3stL0ad3r,,,,,,,,,,,,
mentor1174,mentor,a.,1174,male,mentor1174@viaLT.com,external,t3stL0ad3r,,,,,,,,,,,,
admin1174,admin,a.,1174,male,admin1174@viaLT.com,admin,t3stL0ad3r,,,,,,,,,,,,
student1175,student,a.,1175,male,student1175@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
faculty1175,faculty,a.,1175,male,faculty1175@viaLT.com,faculty,t3stL0ad3r,,,,,,,,,,,,
mentor1175,mentor,a.,1175,male,mentor1175@viaLT.com,external,t3stL0ad3r,,,,,,,,,,,,
admin1175,admin,a.,1175,male,admin1175@viaLT.com,admin,t3stL0ad3r,,,,,,,,,,,,
